Locus_tag	Translation_start	Translation_stop	Strand	Gene	Raw_counts_replicate_1	Raw_counts_replicate_2	RPKM
b1235	1289465	1290478	+	rssB	68235	67098	100
b1236	1290680	1291588	+	galU	232572	175094	331
b1237	1291732	1292145	-	hns	2445929	2510287	8961
b1238	1292750	1293367	+	tdk	95664	72187	201
b4573	1293649	1294545	-	insZ	28061	23332	43
b1241	1294669	1297344	-	adhE	1330672	1167065	694
b1242	1297821	1298468	+	ychE	65689	41007	121
b1243	1299206	1300837	+	oppA	334020	373879	326
b1244	1300923	1301843	+	oppB	38296	25799	51
b1245	1301858	1302766	+	oppC	82614	49583	106
b1246	1302778	1303791	+	oppD	45806	35124	59
b1247	1303788	1304792	+	oppF	42926	34830	57
b1248	1304845	1305174	-	yciU	217462	244392	1052
b1249	1305209	1306669	-	clsA	97999	77764	89
b4595	1306812	1306985	+	yciY	62114	47779	467
b1250	1307040	1308293	-	kch	214983	169114	227
b1251	1308593	1308889	-	yciI	14784	10994	64
b1252	1309113	1309832	+	tonB	81269	87467	176
b1253	1309872	1310270	-	yciA	136393	140644	520
b1254	1310375	1310914	-	yciB	105331	83126	258
b1255	1310944	1311687	-	yciC	93626	75054	168
b1256	1312044	1312682	+	ompW	153240	76213	261
b1257	1312742	1313248	-	yciE	102774	24199	177
b1258	1313294	1313794	-	yciF	34812	12515	68
b1259	1313880	1314059	-	yciG	3086	2270	22
b1260	1314440	1315246	-	trpA	17698	15788	31
b1261	1315246	1316439	-	trpB	27658	24964	33
b1262	1316451	1317809	-	trpC	45531	38790	46
b1263	1317813	1319408	-	trpD	17133	12535	14
b1264	1319408	1320970	-	trpE	22583	22550	22
b1265	1321062	1321106	-	trpL	875	305	19
b1266	1321244	1322125	+	yciV	129079	141129	230
b1267	1322122	1322742	+	yciO	136220	99139	280
b1268	1322770	1324665	+	yciQ	94523	73827	66
b1269	1324876	1325751	+	rluB	91541	80051	146
b1270	1325791	1326381	-	btuR	45785	46056	116
b1271	1326378	1327136	-	yciK	27894	24264	51
b1272	1327356	1328405	+	sohB	235110	141411	262
b1273	1328441	1328692	-	yciN	26036	19333	133
b1274	1329072	1331669	+	topA	679163	589824	363
b1275	1331879	1332853	+	cysB	90449	71613	123
b4522	1333184	1333312	+	ymiA	9772	7413	98
b4523	1333315	1333482	+	yciX	13959	9756	104
b1276	1333855	1336530	+	acnA	107204	86157	54
b1277	1336594	1337184	-	ribA	97473	81915	225
b1278	1337354	1338118	+	pgpB	44696	37866	80
b1279	1338267	1338575	+	yciS	70017	53726	296
b1280	1338582	1339751	+	yciM	52498	39691	58
b1281	1339945	1340682	+	pyrF	102986	101324	207
b1282	1340682	1341008	+	yciH	22748	15366	86
b1283	1341134	1341352	-	osmB	10532	6521	57
b1284	1341621	1342370	-	yciT	36742	32434	69
b4596	1342460	1342633	-	yciZ	33282	27028	257
b1285	1342781	1344766	-	gmr	61850	55945	44
b4672	1344820	1344924	+	ymiB	6206	6334	89
b1286	1345002	1346936	-	rnb	187481	180870	142
b1287	1347004	1348131	-	yciW	85658	77037	107
b1288	1348275	1349063	-	fabI	381393	325029	665
b1289	1349431	1349784	-	ycjD	12560	9029	45
b1290	1349852	1350658	-	sapF	46528	40375	80
b1291	1350660	1351652	-	sapD	68089	59463	96
b1292	1351652	1352542	-	sapC	46106	37891	70
b1293	1352529	1353494	-	sapB	29285	20521	38
b1294	1353491	1355134	-	sapA	70066	54994	56
b1295	1355447	1355692	-	ymjA	11775	11678	71
b1296	1355826	1357211	-	puuP	22672	19399	23
b1297	1357514	1358932	-	puuA	24404	20355	23
b1298	1359144	1359908	+	puuD	23412	19415	42
b1299	1359935	1360492	+	puuR	19612	21501	55
b1300	1360767	1362254	+	puuC	21330	15823	18
b1301	1362256	1363536	+	puuB	11370	8430	11
b1302	1363574	1364839	+	puuE	12234	8482	12
b1303	1364959	1365936	-	pspF	23589	18028	31
b1304	1366103	1366771	+	pspA	116389	91439	230
b1305	1366825	1367049	+	pspB	10765	5742	53
b1306	1367049	1367408	+	pspC	8640	7936	34
b1307	1367417	1367638	+	pspD	2936	2577	18
b1308	1367713	1368027	+	pspE	45238	32683	182
b1309	1368240	1369919	+	ycjM	30253	24091	24
b1310	1369933	1371225	+	ycjN	23529	16255	23
b1311	1371246	1372127	+	ycjO	10367	7395	15
b1312	1372114	1372956	+	ycjP	18798	12695	27
b1313	1372987	1374039	+	ycjQ	23443	16554	28
b1314	1374058	1374846	+	ycjR	14699	12506	26
b1315	1374856	1375911	+	ycjS	15153	14583	21
b1316	1375908	1378175	+	ycjT	31557	24277	18
b1317	1378172	1378831	+	ycjU	8106	5402	15
b4524	1378845	1379926	+	ycjV	12405	11677	17
b1319	1379971	1380876	+	ompG	16254	15246	26
b1320	1380987	1381985	-	ycjW	28474	29773	44
b1321	1382141	1383538	+	ycjX	31882	26832	31
b1322	1383535	1384596	+	ycjF	27129	19349	32
b1323	1384744	1386285	+	tyrR	141205	108124	120
b1324	1386329	1386835	-	tpx	261116	255991	762
b1325	1386954	1387919	+	ycjG	59849	50883	85
b1326	1387894	1388622	-	mpaA	26648	23669	51
b4525	1388749	1388886	-	ymjC	9267	7290	89
b4673	1388892	1388957	-	ymjD	2227	2318	52
b1327	1388957	1389877	-	ycjY	10556	15799	22
b1328	1390015	1390914	+	ycjZ	38236	36655	62
b1329	1391251	1392864	+	mppA	157416	101361	118
b1330	1392915	1393946	-	ynaI	58921	42286	72
b1331	1394100	1395116	+	insH1	315136	233719	398
b1332	1395389	1395646	+	ynaJ	162906	164129	948
b1333	1395696	1396646	-	uspE	154467	112326	207
b1334	1396798	1397550	-	fnr	388659	392524	776
b1335	1397745	1398260	-	ogt	13982	11968	37
b1336	1398271	1399797	-	abgT	28542	27227	27
b1337	1399834	1401279	-	abgB	20499	15587	18
b1338	1401279	1402589	-	abgA	11596	10582	13
b1339	1402765	1403673	+	abgR	25156	15600	33
b4426	1403680	1403775	-	mcaS	1722	1397	24
b1340	1404003	1404566	+	smrA	11252	10160	28
b1341	1404587	1405819	-	ydaM	24406	17406	25
b1342	1406074	1407057	+	ydaN	34211	29190	48
b4699	1407153	1407274	+	fnrS	4742	3939	53
b1343	1407535	1408908	+	dbpA	72939	71126	78
b1344	1409037	1409972	-	ttcA	139468	120483	206
b1345	1410024	1411259	-	intR	42874	34465	46
b1346	1411261	1411476	-	ydaQ	3212	1854	17
b1347	1411555	1411764	-	rcbA	3815	2371	22
b1348	1411757	1411951	-	ralR	3394	1539	18
b1349	1412008	1412817	-	recT	11948	7408	18
b1350	1412810	1415410	-	recE	68173	65842	38
b1351	1415512	1415787	-	racC	14489	8832	62
b4526	1415862	1416032	-	ydaE	2848	2728	24
b1352	1416032	1416253	-	kilR	2849	2801	19
b1353	1416695	1417183	+	sieB	16350	17234	51
b4527	1417180	1417335	-	ydaF	6209	4627	51
b1355	1417346	1417480	-	ydaG	4831	3352	45
b1356	1417789	1418265	-	racR	97959	61923	246
b1357	1418389	1418685	+	ydaS	9841	7035	42
b1358	1418708	1419130	+	ydaT	6951	4046	19
b1359	1419143	1420000	+	ydaU	22730	18707	36
b1360	1420007	1420753	+	ydaV	16926	14930	32
b1361	1420725	1421224	+	ydaW	12528	10740	35
b1362	1421225	1421668	+	rzpR	5407	5304	18
b4528	1421424	1421609	+	rzoR	1983	2022	16
b1363	1421806	1423263	+	trkG	170044	126178	150
b1365	1423401	1423664	+	ynaK	14671	12814	77
b1366	1423654	1424106	+	ydaY	20997	19494	67
b1368	1424478	1425410	+	ynaA	19560	16773	29
b1370	1425770	1426750	-	insH1	32050	20518	39
b4570	1426819	1427008	+	lomR	1421	1143	10
b1372	1427073	1430435	+	stfR	55541	40420	21
b1373	1430435	1431010	+	tfaR	18482	15553	44
b1374	1431108	1431698	-	pinR	52534	32918	106
b1375	1432015	1432248	-	ynaE	276420	163614	1375
b4638	1432982	1433032	-	ttcC	9301	8178	255
b1376	1433209	1433643	-	uspF	51645	36533	149
b1377	1433784	1434917	-	ompN	15112	13233	19
b4427	1435145	1435253	+	micC	1985	2287	30
b1378	1435284	1438808	-	ydbK	98644	79554	37
b4529	1439082	1439348	+	ydbJ	43353	35860	220
b1379	1439345	1439767	-	hslJ	82621	71950	272
b1380	1439878	1440867	-	ldhA	35867	34650	53
b1381	1441075	1443714	+	ydbH	90871	70782	45
b1382	1443711	1443896	+	ynbE	20247	14503	138
b1383	1443904	1444230	+	ydbL	74034	41707	258
b1384	1444402	1445307	-	feaR	36235	22490	48
b1385	1445543	1447042	+	feaB	25560	27055	26
b1386	1447100	1449373	-	tynA	29914	25891	18
b1387	1449621	1451666	-	paaZ	22477	19447	15
b1388	1451951	1452880	+	paaA	13758	10813	20
b1389	1452892	1453179	+	paaB	4772	4439	24
b1390	1453188	1453934	+	paaC	5067	3880	9
b1391	1453949	1454446	+	paaD	3659	2788	10
b1392	1454454	1455524	+	paaE	14125	9610	16
b1393	1455521	1456288	+	paaF	7484	5793	13
b1394	1456288	1457076	+	paaG	6673	5954	12
b1395	1457078	1458505	+	paaH	34652	26333	32
b1396	1458495	1458917	+	paaI	3425	3094	12
b1397	1458917	1460122	+	paaJ	15184	12085	17
b1398	1460149	1461462	+	paaK	21764	18609	23
b1399	1461563	1462513	+	paaX	37491	29877	52
b1400	1462495	1463085	+	paaY	24656	18184	54
b4674	1463189	1463254	-	ynbG	289	631	11
b1402	1465945	1466850	-	insD1	71793	59210	107
b1403	1466808	1467173	-	insC1	28173	22022	102
b1404	1467382	1468533	+	insI1	489951	322992	518
b4492	1468541	1472037	+	ydbA	317075	266226	124
b1406	1472245	1473105	+	ydbC	26174	17551	37
b1407	1473168	1475474	+	ydbD	37144	37218	24
b1408	1475645	1476250	+	ynbA	11117	10416	27
b1409	1476250	1477146	+	ynbB	22751	19137	35
b1410	1477162	1478919	+	ynbC	25690	24210	21
b1411	1478933	1480225	+	ynbD	29758	27909	33
b1412	1480279	1480884	-	azoR	15726	14575	37
b1413	1481085	1484987	+	hrpA	190163	157538	66
b1414	1485259	1486059	+	ydcF	31565	24270	52
b1415	1486256	1487695	+	aldA	168959	119907	148
b4493	1487737	1488737	-	gapC	224170	166441	288
b1418	1488926	1489456	+	cybB	183794	125183	428
b4597	1489467	1489530	-	rydC	19400	15402	403
b1419	1489701	1489874	+	ydcA	24964	21727	199
b4428	1489946	1490095	-	hokB	11423	8857	100
b1420	1489986	1490153	-	mokB	23860	18852	188
b4429	1490143	1490198	+	sokB	18679	16136	462
b1421	1490494	1492134	+	trg	34680	31400	30
b1422	1492172	1493095	-	ydcI	91995	90370	147
b1423	1493312	1494655	+	ydcJ	20505	14801	19
b1424	1494880	1496535	+	opgD	59290	48754	48
b1426	1496675	1496899	+	ydcH	19836	10893	100
b1427	1496962	1497501	+	rimL	26550	15635	57
b1428	1497493	1498473	-	ydcK	18484	15119	25
b1429	1498597	1499589	+	tehA	29984	24029	40
b1430	1499586	1500179	+	tehB	54828	45512	125
b1431	1500481	1501149	+	ydcL	96154	86312	203
b4578	1501242	1501673	-	insP	11826	14813	47
b1432	1501741	1502889	+	insQ	49350	30452	51
b1433	1502929	1504104	-	ydcO	30041	26737	36
b1434	1504196	1504732	+	ydcN	15831	14851	43
b1435	1504805	1506766	+	ydcP	159099	132670	110
b1436	1506858	1507088	-	yncJ	15026	11135	84
b4532	1507310	1507486	+	hicA	40235	36890	325
b1438	1507532	1507948	+	hicB	23146	19068	75
b1439	1508027	1509433	+	ydcR	61055	51841	60
b1440	1509678	1510823	+	ydcS	15491	10511	17
b1441	1510841	1511854	+	ydcT	9710	9057	14
b1442	1511855	1512796	+	ydcU	23281	17172	32
b1443	1512786	1513580	+	ydcV	14741	13599	27
b1444	1513602	1515026	+	patD	29099	22598	27
b4598	1515123	1515218	-	yncL	6897	3060	75
b1445	1515413	1515586	+	ydcX	13552	16155	129
b1446	1515672	1515905	+	ydcY	29126	26422	177
b1447	1515906	1516355	-	ydcZ	24177	16589	67
b1448	1516352	1516870	-	mnaT	18146	14356	46
b1449	1517051	1518088	+	curA	30153	23175	38
b1450	1518286	1518951	+	mcbR	18521	24793	49
b1451	1518987	1521089	-	yncD	78218	79132	56
b1452	1521331	1522392	+	yncE	36871	42024	56
b1453	1522505	1524004	-	ansP	43544	36656	40
b1454	1524271	1524888	+	yncG	3945	3022	8
b1455	1524964	1525176	+	yncH	466	761	4
b1456	1525926	1527962	+	rhsE	29128	23120	19
b1457	1527946	1528428	+	ydcD	8936	5663	22
b1459	1528610	1529663	+	yncI	30428	24513	39
b1460	1529840	1530976	+	ydcC	34997	27822	41
b1461	1531076	1531309	+	pptA	7960	6826	47
b1462	1531306	1531875	-	yddH	17538	15865	44
b1463	1532048	1532893	+	nhoA	14374	12511	24
b1464	1532989	1533882	-	yddE	24764	16778	34
b1465	1533961	1534641	-	narV	9524	10197	22
b1466	1534638	1535333	-	narW	6189	6138	13
b1467	1535333	1536877	-	narY	23581	20120	21
b1468	1536874	1540614	-	narZ	39936	32270	14
b1469	1540696	1542084	-	narU	29023	26967	30
b1471	1542408	1543738	-	yddK	9062	6489	9
b1472	1543774	1544052	-	yddL	3355	1672	13
b1473	1544312	1545193	-	yddG	22399	14506	31
b1474	1545425	1548472	+	fdnG	96707	71069	41
b1475	1548485	1549369	+	fdnH	23070	20607	37
b1476	1549362	1550015	+	fdnI	32256	26959	67
b1477	1550422	1550706	-	yddM	48681	33678	213
b1478	1550852	1551862	-	adhP	33418	26350	44
b1479	1551996	1553693	-	maeA	460032	400684	377
b1480	1553850	1553987	-	sra	6848	5449	66
b1481	1554089	1554304	-	bdm	2959	2863	20
b1482	1554649	1555080	+	osmC	12711	5824	31
b1483	1555136	1556062	-	ddpF	10268	9209	16
b1484	1556055	1557041	-	ddpD	5411	5897	9
b1485	1557038	1557934	-	ddpC	10762	9217	17
b1486	1557931	1558953	-	ddpB	12103	10724	17
b1487	1558955	1560505	-	ddpA	17713	14700	16
b1488	1560519	1561100	-	ddpX	4403	3234	10
b1489	1561358	1563757	-	dosP	38911	35547	23
b1490	1563782	1565164	-	dosC	20992	18553	21
b1491	1565528	1566847	-	yddW	21855	15808	21
b1492	1566978	1568513	-	gadC	74882	68498	70
b1493	1568669	1570069	-	gadB	29877	28186	31
b1494	1570431	1573226	-	pqqL	56870	42471	26
b1495	1573271	1575643	-	yddB	33720	25017	18
b1496	1575681	1577366	-	yddA	14560	14716	13
b1497	1577657	1578814	-	ydeM	7531	10524	12
b1498	1578866	1580548	-	ydeN	77916	65570	63
b1499	1580950	1581711	-	ydeO	8723	6034	14
b1500	1581786	1581983	-	safA	1431	1499	11
b1501	1582231	1584510	-	ydeP	27986	19040	15
b1502	1584844	1585758	-	ydeQ	7117	6304	11
b1503	1585817	1586320	-	ydeR	5660	8133	21
b1504	1586333	1586863	-	ydeS	5281	7227	18
b1505	1586877	1588103	-	ydeT	16243	13206	18
b1506	1588358	1588560	-	yneL	2437	926	12
b1507	1588878	1590200	-	hipA	51094	42633	53
b1508	1590200	1590466	-	hipB	6267	6016	34
b4696	1590689	1596011	-	yneO	112298	107753	31
b1511	1596641	1598233	-	lsrK	21414	18699	19
b1512	1598312	1599265	-	lsrR	20098	18408	30
b1513	1599514	1601049	+	lsrA	13477	16023	14
b1514	1601043	1602071	+	lsrC	13012	13932	20
b1515	1602071	1603063	+	lsrD	11747	11973	18
b1516	1603075	1604097	+	lsrB	18262	17527	26
b1517	1604124	1604999	+	lsrF	14935	12335	23
b1518	1605023	1605313	+	lsrG	4967	5625	27
b1519	1605370	1606128	+	tam	14015	14364	28
b1520	1606132	1607046	-	yneE	39210	37381	62
b1521	1607253	1608704	-	uxaB	27145	20765	24
b1522	1608931	1609878	-	yneF	33598	24727	45
b1523	1609990	1610349	-	yneG	25094	25553	105
b1524	1610349	1611275	-	glsB	41380	34780	61
b1525	1611339	1612727	-	sad	30842	25897	30
b1526	1612828	1613709	+	yneJ	11209	8487	17
b1527	1613787	1614902	+	yneK	19398	16195	24
b1528	1615052	1616242	+	ydeA	44020	35688	50
b1529	1616267	1616932	-	marC	20032	17364	42
b1530	1617144	1617578	+	marR	37366	35431	125
b1531	1617598	1617981	+	marA	77592	70593	287
b1532	1618013	1618231	+	marB	17131	11539	96
b1533	1618262	1619161	-	eamA	44483	36437	67
b1534	1619356	1620543	+	ydeE	59890	48448	68
b4599	1620670	1620765	+	yneM	16065	11118	208
b4698	1620841	1620938	-	mgrR	15543	12041	208
b1535	1620984	1621874	-	ydeH	104167	100905	172
b1536	1622129	1622521	-	ydeI	5513	4076	18
b1537	1622797	1623315	+	ydeJ	7551	8101	23
b1538	1623359	1625404	-	dcp	88021	69774	57
b1539	1625541	1626287	+	ydfG	59683	42927	101
b1540	1626376	1627062	+	ydfH	100432	71731	185
b1541	1627239	1627442	+	ydfZ	35858	23597	214
b1542	1627477	1628937	-	ydfI	22383	19443	21
b4600	1629026	1630309	-	ydfJ	20977	21595	25
b1544	1631096	1631329	+	ydfK	213467	122682	1049
b1545	1631646	1632236	+	pinQ	45662	30244	94
b1546	1632334	1632909	-	tfaQ	17641	14302	41
b1547	1632909	1633871	-	stfQ	5983	3961	8
b1548	1633864	1634391	-	nohQ	7008	5531	18
b4533	1634780	1635013	+	ynfO	5112	4988	32
b1549	1635071	1635481	+	ydfO	7754	7485	28
b1550	1635633	1635806	-	gnsB	8843	6370	64
b1551	1635978	1636133	-	ynfN	7013	5692	60
b1552	1636479	1636691	-	cspI	318252	231378	1903
b4689	1637104	1637358	-	rzoQ	7341	5237	36
b1553	1637054	1637551	-	rzpQ	14162	12633	40
b1554	1637548	1638081	-	rrrQ	7729	12147	28
b1555	1638078	1638389	-	ydfR	3643	4140	19
b1556	1638394	1638609	-	essQ	5439	4317	33
b1557	1639363	1639578	-	cspB	792260	666094	5011
b1558	1639879	1640091	+	cspF	212445	159260	1289
b1559	1640513	1641265	-	quuQ	40394	40311	80
b1560	1641279	1642328	-	ydfU	11426	12051	17
b1561	1642675	1642926	-	rem	11469	8004	57
b1562	1643143	1643298	-	hokD	11225	9406	98
b1563	1643370	1643657	-	relE	34770	31448	171
b1564	1643657	1643896	-	relB	33536	22467	172
b1565	1643921	1644226	+	ydfV	8968	8068	41
b1566	1644429	1644761	+	flxA	22274	15873	84
b1567	1645198	1645380	-	intK	1581	2033	15
b1568	1645382	1645660	-	ydfX	3104	2842	16
b1569	1645644	1645874	-	dicC	3767	2739	21
b1570	1645958	1646365	+	dicA	162217	154203	579
b1571	1646532	1646687	+	ydfA	4755	4026	42
b1572	1646689	1646817	+	ydfB	4760	3903	50
b1573	1646847	1647065	+	ydfC	6852	4507	38
b1574	1647406	1647458	+	dicF	502	610	16
b1575	1647633	1647821	+	dicB	1981	2455	18
b1576	1647818	1648009	+	ydfD	1388	1873	13
b1577	1648102	1648866	+	ydfE	15246	12147	27
b1578	1648869	1649561	+	insD1	33858	27877	66
b1579	1649575	1650732	+	intQ	23989	20117	28
b1580	1650920	1651939	-	rspB	24865	19336	32
b1581	1651951	1653165	-	rspA	12597	15018	17
b1582	1653371	1653697	-	ynfA	11125	11600	52
b1583	1653832	1654173	+	ynfB	75683	49970	270
b1584	1654208	1654768	+	speG	112088	74191	244
b1585	1654771	1655481	-	ynfC	34422	24775	61
b1586	1655589	1655894	+	ynfD	19949	20751	100
b1587	1656093	1658519	+	ynfE	70321	74824	45
b1588	1658580	1661003	+	ynfF	277725	268990	168
b1589	1661014	1661631	+	ynfG	42152	35933	94
b1590	1661633	1662487	+	ynfH	83213	69326	132
b1591	1662530	1663144	+	dmsD	41676	34952	93
b1592	1663339	1664595	+	clcB	23802	19588	26
b1593	1664548	1665243	-	ynfK	58001	31093	93
b1594	1665368	1666588	-	mlc	69094	27950	57
b1595	1666723	1667616	-	ynfL	13764	9589	19
b1596	1667723	1668976	+	ynfM	39553	38355	46
b1597	1669400	1669708	+	asr	10594	13302	58
b4601	1669801	1669884	+	ydgU	4416	4430	79
b1598	1669984	1670805	+	ydgD	24514	20403	41
b1599	1670844	1671173	-	mdtI	21214	19892	93
b1600	1671160	1671525	-	mdtJ	49489	55118	215
b1601	1671937	1672971	+	tqsA	37074	33030	50
b1602	1672996	1674384	-	pntB	190994	125220	167
b1603	1674395	1675927	-	pntA	248020	180951	206
b1604	1676451	1677395	+	ydgH	87342	70640	124
b1605	1677581	1678963	+	ydgI	39752	38508	42
b1606	1679000	1679722	+	folM	27732	22844	52
b1607	1679719	1680054	-	ydgC	36912	26067	138
b1608	1680183	1680902	+	rstA	80855	72624	159
b1609	1680906	1682207	+	rstB	63133	43003	60
b1610	1682283	1683212	+	tus	26543	17839	35
b1611	1683209	1684612	-	fumC	34535	35357	37
b1612	1684755	1686401	-	fumA	287012	231097	233
b1613	1686600	1687775	+	manA	78167	60037	87
b1614	1687876	1689384	+	ydgA	472168	391357	424
b1615	1689610	1690875	-	uidC	28200	22479	30
b1616	1690914	1692287	-	uidB	15501	16807	18
b1617	1692284	1694095	-	uidA	21574	19686	17
b1618	1694486	1695076	-	uidR	80493	44366	154
b1619	1695297	1696064	-	hdhA	87646	71928	154
b1620	1696176	1697204	-	malI	30222	25175	40
b1621	1697379	1698971	+	malX	33418	34409	32
b1622	1698981	1700153	+	malY	36154	29686	42
b1623	1700257	1701258	+	add	102082	66910	124
b1624	1701292	1702332	-	ydgJ	39146	29985	49
b4409	1702575	1702700	+	blr	15077	12071	160
b1625	1702973	1703188	+	cnu	12856	9812	78
b1626	1703274	1703714	+	ydgK	90801	83370	294
b1627	1703791	1704372	+	rsxA	39454	39582	102
b1628	1704372	1704950	+	rsxB	46131	51973	127
b1629	1704943	1707165	+	rsxC	169256	143610	105
b1630	1707166	1708224	+	rsxD	69435	39776	75
b1631	1708228	1708848	+	rsxG	37500	21497	69
b1632	1708852	1709547	+	rsxE	36957	28102	69
b1633	1709547	1710182	+	nth	25190	24312	58
b1634	1710793	1712295	+	dtpA	308266	260519	281
b1635	1712401	1713006	+	gstA	27460	17804	55
b1636	1713050	1713913	-	pdxY	53539	40072	80
b1637	1713972	1715246	-	tyrS	236952	172164	237
b1638	1715375	1716031	-	pdxH	58967	48936	122
b1639	1716090	1716419	-	mliC	12182	11549	54
b1640	1716517	1717626	-	anmK	25986	19690	30
b1641	1717900	1718367	+	slyB	707750	457812	1828
b1642	1718414	1718848	-	slyA	449878	328398	1320
b1643	1719049	1719285	+	ydhI	17042	15090	101
b1644	1719288	1720145	+	ydhJ	23540	20372	38
b1645	1720145	1722157	+	ydhK	37093	39319	28
b1646	1722158	1722679	-	sodC	11398	8909	29
b1647	1722760	1723656	-	ydhF	34682	27130	51
b1648	1723705	1723944	-	ydhL	5160	4032	28
b1649	1724047	1724646	+	nemR	22522	20378	53
b1650	1724683	1725780	+	nemA	34197	27813	42
b1651	1725861	1726268	+	gloA	108328	70978	323
b1652	1726371	1727018	+	rnt	82638	94599	206
b1653	1727111	1731727	+	lhr	78719	56808	22
b1654	1731778	1732125	-	grxD	112384	111648	481
b1655	1732459	1733274	+	ydhO	81913	64227	133
b1656	1733402	1733983	+	sodB	928593	792472	2196
b1657	1734145	1735314	-	ydhP	63268	40432	65
b4602	1735480	1735569	-	ynhF	6496	3571	82
b1658	1735868	1736893	+	purR	128421	121028	181
b1659	1736890	1737822	-	ydhB	24553	25225	40
b1660	1737935	1739146	+	ydhC	68331	40355	66
b1661	1739437	1740585	+	cfa	185007	127848	200
b1662	1740625	1741266	-	ribC	151668	122080	316
b1663	1741481	1742854	+	mdtK	91702	77282	91
b1664	1742895	1744151	-	ydhQ	122202	77796	117
b1665	1744459	1744535	+	valV	9881	6071	152
b1666	1744540	1744616	+	valW	4857	3240	77
b1667	1744724	1745029	+	ydhR	82864	54105	329
b1668	1745155	1746759	+	ydhS	35735	32312	32
b1669	1746771	1747583	-	ydhT	18959	15221	31
b1670	1747587	1748372	-	ydhU	42106	40800	79
b1671	1748369	1749037	-	ydhX	17558	19078	41
b1672	1749101	1749748	-	ydhW	21043	28366	58
b1673	1749752	1751854	-	ydhV	57338	53066	39
b1674	1751875	1752501	-	ydhY	5713	6786	15
b1675	1752956	1753165	-	ydhZ	9705	6321	56
b1676	1753722	1755134	+	pykF	350134	309210	347
b1677	1755445	1755681	+	lpp	938700	766380	5333
b1678	1755745	1756749	-	ynhG	37751	26473	47
b1679	1756898	1757314	-	sufE	10446	9037	35
b1680	1757327	1758547	-	sufS	19287	15153	21
b1681	1758544	1759815	-	sufD	16366	11833	16
b1682	1759790	1760536	-	sufC	12699	10108	23
b1683	1760546	1762033	-	sufB	23216	19827	21
b1684	1762042	1762410	-	sufA	4809	4842	20
b4430	1762737	1762804	-	rydB	2755	2011	52
b1685	1762958	1763146	-	ydiH	19609	15553	138
b1686	1763246	1763656	-	ydiI	19073	15952	63
b1687	1763653	1766709	-	ydiJ	112711	101902	52
b1688	1767098	1768210	+	ydiK	43150	35781	53
b4431	1768396	1768501	+	rprA	2698	2414	36
b1689	1768639	1768995	+	ydiL	5060	4497	20
b1690	1769095	1770309	+	ydiM	17972	13475	19
b1691	1770536	1771801	+	ydiN	12858	10508	14
b1692	1771813	1772679	+	ydiB	8516	8226	14
b1693	1772710	1773468	+	aroD	14024	15078	29
b1694	1773611	1775206	+	ydiF	16281	17768	16
b1695	1775220	1776371	+	ydiO	12212	11825	16
b1696	1776414	1777325	-	ydiP	13262	13635	22
b1697	1777641	1778405	+	ydiQ	7916	7873	15
b1698	1778425	1779363	+	ydiR	10575	6888	14
b1699	1779419	1780708	+	ydiS	14703	13664	16
b1700	1780705	1780998	+	ydiT	2770	2070	12
b1701	1781055	1782701	+	fadK	30617	26502	26
b1702	1782758	1785136	-	ppsA	371746	318713	216
b1703	1785469	1786302	+	ppsR	21601	17052	34
b1704	1786459	1787505	+	aroH	41381	46368	63
b1705	1787637	1787828	+	ydiE	7371	9225	65
b1706	1787832	1789268	-	ydiU	49734	43316	48
b1707	1789331	1790044	-	ydiV	90640	83299	182
b1708	1790291	1790755	-	nlpC	30737	25244	89
b1709	1790833	1791582	-	btuD	23985	19742	43
b1710	1791582	1792133	-	btuE	38334	27669	88
b1711	1792196	1793176	-	btuC	62507	50570	85
b1712	1793277	1793576	-	ihfA	249149	183988	1066
b1713	1793581	1795968	-	pheT	1238389	911860	665
b1714	1795983	1796966	-	pheS	351091	290325	483
b1715	1797250	1797294	-	pheM	7613	6215	228
b1716	1797417	1797773	-	rplT	1354695	1354480	5674
b1717	1797826	1798023	-	rpmI	1233080	1209732	9217
b1718	1798120	1798662	-	infC	3433925	2822326	8543
b1719	1798666	1800594	-	thrS	1886708	1404207	1260
b4494	1801118	1803017	+	arpB	29059	22509	20
b4535	1803189	1803296	+	yniD	5054	3157	56
b1722	1803349	1804107	-	ydiY	270280	199729	457
b1723	1804394	1805323	+	pfkB	40258	33232	59
b1724	1805424	1805714	+	ydiZ	18884	11963	78
b1725	1805820	1806680	+	yniA	42465	33585	65
b1726	1806721	1807257	-	yniB	63814	52023	160
b1727	1807404	1808072	+	yniC	57318	53999	124
b1728	1808235	1808825	+	ydjM	12634	9569	28
b1729	1808958	1810349	+	ydjN	35176	30593	35
b1730	1810353	1811156	-	ydjO	5594	5098	10
b1731	1811445	1811687	-	cedA	27727	23276	156
b1732	1811891	1814152	+	katE	23426	22083	15
b1733	1814410	1815159	-	chbG	13100	10090	23
b1734	1815172	1816524	-	chbF	23204	18857	23
b1735	1816629	1817471	-	chbR	45565	29481	65
b1736	1817479	1817829	-	chbA	22951	13790	77
b1737	1817880	1819238	-	chbC	25369	22647	26
b1738	1819323	1819643	-	chbB	16908	12639	68
b1739	1819942	1820280	-	osmE	18148	15630	74
b1740	1820482	1821309	+	nadE	78269	64163	128
b1741	1821539	1822426	+	cho	24116	21276	38
b1742	1822386	1822961	-	ves	11907	12024	31
